Site;Round;Mown.side;Mown.site;Date;Time;Roadside;Temperature/C;Windspeed/m/s;Wind Direction;Spiders;Staphylinidae;Cantharidae;Coccinellidae;Curculionidae;pollen beetles;flea beetles;other Coleoptera;Parasitic wasps;Formicidae;Other Apocrita;Symphyta;Diptera: Syrphidae;Diptera: other Brachycera;Diptera other Nematocera;Lepidoptera: butterfly adults;Lepidoptera: butterfly larvae;Lepidoptera: moth adults;Lepidoptera: moth larvae;Aphids;Cicadellidae;Delphacidae;Other Homoptera;Pentatomidae;Miridae;other Heteroptera;Neuroptera;Thysanoptera;Collembola;Dermpatera;Orthoptera;Acari;Others;Note
Knutby;2;Yes;Yes;11-jul;21:50;E;10;1(2);S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;mown
Knutby;2;Yes;Yes;11-jul;22:05;W;10;1(2);S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;mown
Knutby;3;Not.recently;Not.recently;05-aug;23:25;NW;17;2(4);NE;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;;mown
Knutby;3;Not.recently;Not.recently;05-aug;23:35;SE;17;2(4);NE;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;mown
Rimbo;1;No;No;14-jun;21:50;SE;13;2;NW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Rimbo;1;No;No;14-jun;22:00;NW;13;2;NW;1;0;0;0;0;0;0;0;6;0;0;0;0;1;1;0;0;3;0;0;0;0;0;0;0;0;0;0;9;0;0;1;;
Rimbo;2;Yes;Yes;11-jul;21:50;NW;11;1(4);S;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;mown
Rimbo;2;Yes;Yes;11-jul;22:05;SE;11;1(4);S;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;3;;mown
Rimbo;3;Not.recently;Not.recently;05-aug;23:25;NW;15;1(3);NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;mown
Rimbo;3;Not.recently;Not.recently;05-aug;23:35;SE;15;1(3);NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;mown
Rovsättra;1;No;No;07-jun;22:00;NW;19;2;NW;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;3;0;0;0;0;0;0;3;0;0;4;4;0;0;0;;
Rovsättra;1;No;No;07-jun;22:25;NO;19;2;NW;1;1;1;0;0;0;0;1;1;0;0;0;0;0;3;0;1;6;0;0;0;0;0;0;0;0;0;6;8;0;0;0;;
Rovsättra;2;No;No;19-jul;23:25;E;13;1(3);SE;8;1;11;4;9;0;5;36;15;3;1;0;0;20;8;0;0;7;1;22;7;1;0;14;64;3;7;20;5;2;3;11;1 Psocoptera, 12 snails;
Rovsättra;2;No;No;19-jul;23:40;W;13;1(3);SE;9;0;6;2;8;0;0;37;7;0;0;1;0;14;14;0;0;6;0;29;5;7;0;18;58;4;3;13;2;0;0;7;26 snails;
Rovsättra;3;Yes;Yes;07-aug;22:35;SW;16;1(4);NE;0;0;0;0;0;0;0;0;0;0;0;0;0;6;9;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;;mown
Rovsättra;3;Yes;Yes;07-aug;22:45;NE;16;1(4);NE;0;0;0;0;0;0;0;0;0;0;0;0;0;2;7;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;mown
Sigtuna;1;No;No;17-jun;23:30;S;13;1(2);S;0;0;0;4;0;0;0;2;0;0;0;0;4;1;3;0;2;3;0;0;0;0;0;13;3;0;0;4;2;0;0;0;;
Sigtuna;1;No;No;17-jun;00:00;N;13;1(2);S;2;0;1;0;0;0;0;8;2;0;0;0;0;2;3;0;1;2;0;0;2;0;0;1;1;0;0;14;18;0;5;0;1 Zygoptera;
Sigtuna;2;Yes;Yes;18-jul;00:50;N;11;1(2);NW;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;mown
Sigtuna;2;Yes;Yes;18-jul;01:00;S;10;1(2);NW;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;mown
Sigtuna;3;Not.recently;Not.recently;09-aug;21:25;S;15;1(3);W;0;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;6;0;0;0;0;0;0;0;0;0;0;3;0;0;0;;
Sigtuna;3;Not.recently;Not.recently;09-aug;21:35;N;15;1(3);W;1;0;0;0;0;0;0;1;1;0;0;0;0;0;4;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Skogstibble;1;No;No;05-jun;22:30;S;17;1(4);SE;7;0;3;3;0;4;0;5;15;5;0;0;0;4;6;0;0;2;0;10;7;0;6;4;1;31;4;375;150;0;1;145;;
Skogstibble;1;No;No;05-jun;22:00;N;17;1(4);SE;4;0;3;3;1;1;0;5;24;5;0;0;4;13;4;0;0;3;0;0;2;0;3;30;0;8;9;20;5;0;3;100;1 snail;
Skogstibble;2;No;No;17-jul;22:30;S;12;0(1);NW;32;1;7;2;0;2;3;39;67;0;0;0;4;11;21;0;0;7;0;39;1;0;8;3;54;47;4;180;72;5;0;60;1 Blattodea, 4 snails;
Skogstibble;2;No;No;17-jul;22:20;N;12;0(1);NW;5;0;4;0;2;0;0;28;38;0;0;0;3;13;9;0;0;2;0;9;0;0;1;0;11;4;0;35;0;0;1;18;;
Skogstibble;3;Yes;Yes;09-aug;21:30;S;14;1(2);NE;8;0;0;1;0;0;37;3;20;0;0;0;0;52;35;0;1;3;0;16;0;0;14;1;0;48;1;0;16;0;0;23;6 snails;mown
Skogstibble;3;Yes;Yes;09-aug;21:30;N;14;1(2);NE;43;0;0;1;25;2;26;9;32;6;0;6;0;46;217;0;3;6;0;25;25;0;78;7;5;29;0;70;120;0;1;28;1 Opiliones, 6 snails;mown
Skutskär;1;No;No;06-jun;22:30;W;23;2;NW;0;0;0;0;0;0;0;0;1;0;0;0;0;0;27;0;0;4;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
Skutskär;1;No;No;06-jun;22:10;E;23;2;NW;1;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;1;0;0;1;0;0;0;1;2;0;0;0;0;0;0;;
Skutskär;2;No;No;19-jul;22:10;W;18;1(2);S;45;2;14;15;15;0;4;38;35;32;0;0;9;44;7;0;2;4;0;33;10;8;0;57;43;30;0;109;2;1;3;322;7 snails;
Skutskär;2;No;No;19-jul;N/A;E;18;1(2);S;28;1;9;47;5;2;20;42;64;109;0;0;34;89;19;0;4;32;7;70;12;2;0;86;128;37;22;33;3;22;9;36;1 Blattodea, 2 Diplopoda,  14 snails;
Skutskär;3;Yes;Yes;07-aug;21:45;E;14;1(3);W;18;0;0;0;0;0;4;3;2;1;0;0;0;276;21;0;1;5;0;5;14;0;0;2;1;1;0;2;1;1;0;0;4 Diplopoda, 12 snails;mown
Skutskär;3;Yes;Yes;07-aug;22:00;W;14;1(3);W;46;0;3;17;8;0;37;23;0;9;0;0;0;84;28;0;0;26;0;13;12;0;0;33;18;10;0;8;0;0;1;2;8 snails;mown
Skärplinge;1;No;No;10-jun;22:00;E;N/A;N/A;N/A;0;0;1;0;0;0;0;1;0;0;0;0;0;0;13;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Skärplinge;1;No;No;10-jun;22:10;W;N/A;N/A;N/A;0;0;0;0;0;0;0;0;0;0;0;0;0;10;41;0;0;2;0;0;1;0;0;0;0;0;0;7;5;0;0;0;;
Skärplinge;2;No;No;25-jul;00:10;W;17;1(3);S;9;0;1;3;2;2;4;27;57;172;0;0;0;24;138;0;2;23;1;212;10;0;0;13;23;2;4;91;0;1;0;7;32 snails;
Skärplinge;2;No;No;25-jul;00:20;E;17;1(3);S;19;0;0;11;3;0;0;22;32;272;0;0;0;18;79;0;1;9;4;260;9;2;0;13;53;4;6;152;0;0;0;3;15 snails;
Skärplinge;3;No;No;07-aug;23:30;E;12;1(5);W;37;0;0;11;9;0;0;76;19;12;0;0;2;19;25;0;0;13;1;31;2;1;0;41;130;12;6;15;1;74;0;13;5 Diplopoda, 58 snails;
Skärplinge;3;No;No;07-aug;23:15;W;12;1(5);W;15;0;0;9;2;5;2;130;21;8;0;0;0;9;30;0;2;11;2;2;8;0;0;59;74;17;2;55;4;7;2;5;1 Opiliones, 14 snails;
Strängnäs;1;No;No;08-jun;00:30;W;17;2(5);SE;11;0;11;4;2;2;3;8;6;4;0;0;0;9;0;14;0;3;0;3;1;0;9;7;0;28;1;60;10;0;5;11;1 Blattodea;
Strängnäs;1;No;No;08-jun;00:20;E;17;2(5);SE;32;1;4;1;3;74;7;16;12;34;0;0;0;27;7;0;1;8;0;7;2;0;0;7;0;19;5;140;0;0;8;20;;
Strängnäs;2;No;No;11-jul;22:05;W;13;1(4);N;7;0;2;1;1;58;3;10;23;3;0;1;0;8;24;0;4;3;0;43;0;0;0;1;8;34;1;70;0;0;0;36;;
Strängnäs;2;No;No;11-jul;22:20;E;13;1(4);N;19;0;2;8;1;40;17;9;30;7;0;0;0;21;25;0;1;6;0;14;0;0;1;0;9;59;2;20;0;1;0;10;;
Strängnäs;3;Yes;Yes;13-aug;23:00;E;12;2(5);SW;231;1;1;2;5;2;86;2;10;2;0;2;0;191;15;0;1;4;0;18;20;0;3;1;4;32;0;25;6;4;1;17;;mown
Strängnäs;3;Yes;Yes;13-aug;23:10;W;12;2(5);SW;87;5;0;0;5;1;19;1;4;2;0;1;1;416;7;0;0;5;0;3;6;0;0;0;0;10;0;11;5;0;0;9;2 snails;mown
Tierp;1;No;No;06-jun;00:10;NO;19;2;NW;0;0;0;0;0;0;0;0;1;1;0;0;0;2;5;0;0;0;0;0;1;0;0;0;0;0;1;3;4;0;0;0;;
Tierp;1;No;No;06-jun;23:50;SW;18;2;NW;0;0;0;1;0;0;0;0;1;2;0;0;0;3;7;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;;
Tierp;2;Yes;Yes;20-jul;01:05;E;13;1(3);S;5;0;0;9;10;2;13;39;13;8;0;0;0;43;3;0;5;6;0;5;15;4;0;14;12;17;0;0;0;6;5;5;9 snails;mown
Tierp;2;Yes;Yes;20-jul;01:15;W;13;1(3);S;9;0;1;9;5;0;7;34;11;1;1;0;0;132;12;0;0;4;1;18;26;1;0;13;30;6;0;1;3;2;13;1;12 snails;mown
Tierp;3;Not.recently;Not.recently;08-aug;01:00;E;12;1(2);SW;6;0;0;2;5;0;7;3;11;3;0;0;1;30;11;0;4;21;0;5;8;0;0;0;24;0;0;7;5;1;3;5;2 snails;
Tierp;3;Not.recently;Not.recently;08-aug;01:15;W;12;1(2);SW;0;0;1;5;4;2;15;2;1;1;0;0;0;31;2;0;1;1;3;6;3;0;0;3;29;7;0;3;1;1;4;0;1 Zygoptera, 2 snails;
Tosterön;1;No;No;06-jun;22:10;W;22;2(7);SE;0;1;2;2;0;0;0;13;53;0;0;0;0;3;16;0;0;3;1;1;3;0;0;6;4;2;1;44;4;0;0;1;1 Blattodea;
Tosterön;1;No;No;06-jun;N/A;E;22;2(7);SE;20;1;3;2;1;0;1;8;53;7;0;0;0;13;109;0;0;3;0;4;6;0;1;6;10;2;1;75;346;0;1;4;;
Tosterön;2;No;No;11-jul;23:25;E;14;2(5);NE;7;0;2;0;1;0;0;0;11;18;0;0;0;10;23;0;0;3;0;4;1;2;0;14;8;0;2;92;16;0;0;8;;
Tosterön;2;No;No;11-jul;23:40;W;14;2(5);NE;37;0;5;0;1;0;17;33;205;17;0;0;0;33;44;0;2;18;2;30;6;3;0;29;25;0;0;1434;13;0;2;5;2 Blattodea, 1 snail;
Tosterön;3;No;No;13-aug;21:10;E;14;2(5);SW;25;0;0;7;1;1;5;12;27;2;0;0;0;40;28;0;2;2;0;9;0;5;0;186;12;8;2;35;1;0;1;12;;
Tosterön;3;No;No;13-aug;21:00;W;14;2(5);SW;53;0;0;11;7;7;16;9;82;0;0;0;0;35;44;0;5;3;0;13;6;1;0;89;18;15;0;52;0;0;4;9;;
UpplandsVäsby;1;No;No;07-jun;22:00;W;20;3(7);S;11;0;0;0;2;1;3;11;8;14;0;0;0;20;19;0;0;14;1;29;23;0;0;24;5;0;1;128;0;1;1;0;;"""lots of veg"""
UpplandsVäsby;1;No;No;07-jun;22:15;E;20;3(7);S;1;0;7;0;0;0;0;2;3;0;0;0;3;2;3;0;0;3;0;0;0;0;0;1;0;0;0;12;0;0;1;0;;"""no veg"""
UpplandsVäsby;2;No;No;19-jul;22:10;SW;16;1(3);N;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
UpplandsVäsby;2;No;No;19-jul;22:00;NE;16;1(3);N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
UpplandsVäsby;3;No;No;12-aug;21:50;S;17;2(6);NE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
UpplandsVäsby;3;No;No;12-aug;21:40;N;17;2(6);NE;0;0;0;0;0;0;0;0;0;0;0;0;0;3;4;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Vänge;1;No;No;05-jun;23:30;W;18;2(5);S;7;0;0;0;0;0;0;2;38;2;1;0;0;9;1;0;0;0;0;1;0;0;5;1;0;8;1;105;155;0;0;2;;
Vänge;1;No;No;05-jun;23:15;E;18;2(5);S;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;;
Vänge;3;Not.recently;Not.recently;09-aug;23:10;E;11;1(3);E;21;0;0;0;5;0;16;2;7;1;0;3;0;23;3;0;2;7;0;6;3;0;1;2;3;19;1;10;8;0;1;20;1 Opiliones, 1 snail;mown
Vänge;3;Not.recently;Not.recently;09-aug;23:20;W;11;1(3);E;12;0;0;4;4;0;26;2;7;0;0;0;0;31;2;0;1;13;0;2;3;0;1;0;2;7;0;15;4;0;0;10;1 Trichoptera, 3 Opiliones, 3 snails;mown
Vänge;2;Yes;Yes;23-jul;23:50;E;15;2(5);SW;19;0;0;8;6;0;27;18;26;2;0;7;2;51;19;0;3;17;0;11;25;0;5;0;4;29;0;4;7;0;6;25;1 Opiliones;mown
Vänge;2;Yes;Yes;24-jul;00:00;W;15;2(5);SW;9;0;1;4;1;0;28;11;8;1;0;1;2;68;12;0;3;13;0;4;4;0;4;0;4;17;0;2;0;1;8;15;1 Blattodea, 1 Opiliones, 1 snail;mown
Östhammar;1;No;No;06-jun;00:45;E;15;2;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;;
Östhammar;1;No;No;06-jun;01:00;W;15;2;N;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;;
Östhammar;2;No;Yes;19-jul;22:00;E;15;1(4);SE;8;0;22;2;2;0;17;16;14;23;0;0;3;13;12;0;1;2;1;103;16;2;0;15;20;3;0;16;0;0;0;8;24 snails;
Östhammar;2;Yes;Yes;19-jul;22:18;W;15;1(4);SE;20;0;22;7;6;0;26;61;44;55;0;0;1;77;18;0;2;5;4;129;23;1;0;25;29;6;0;11;1;7;6;37;1 Diplopoda, 53 snails;
Östhammar;3;Not.recently;Not.recently;07-aug;23:50;E;15;2(5);N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
Östhammar;3;Not.recently;Not.recently;08-aug;00:00;W;15;2(5);N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
